curso,modulo,id_modulo,tipo,numero,criterio,fuente_curricular,afirmacion_respaldada,alcance,fuente_normativa,trazable
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,1,"1.1 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para diferenciar entre una planta de cielo y una planta normal, en un plano de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.1 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para diferenciar entre una planta de cielo y una planta normal, en un plano de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,2,2.2 Lee las especificaciones técnicas para conocer el tipo de material a utilizar en la ejecución de proyectos de refrigeración y climatización.,https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,2.2 Lee las especificaciones técnicas para conocer el tipo de material a utilizar en la ejecución de proyectos de refrigeración y climatización.,Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,3,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,4,"1.4 Elabora un informe técnico indicando las posibles anomalías encontradas en los planos analizados, utilizando tecnologías de la información.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.4 Elabora un informe técnico indicando las posibles anomalías encontradas en los planos analizados, utilizando tecnologías de la información.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,5,"2.5 Elabora un informe técnico de la actividad realizada, indicando posibles anomalías encontradas en las especificaciones técnicas, utilizando tecnologías de la información.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.5 Elabora un informe técnico de la actividad realizada, indicando posibles anomalías encontradas en las especificaciones técnicas, utilizando tecnologías de la información.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,6,"4.3 Elabora un informe de cubicación de elementos y materiales, según los cálculos realizados, de acuerdo con lo establecido en la Norma Chilena relativa a Cubicaciones.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"4.3 Elabora un informe de cubicación de elementos y materiales, según los cálculos realizados, de acuerdo con lo establecido en la Norma Chilena relativa a Cubicaciones.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,7,"1.3 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico para detectar posibles interferencias entre equipos, tuberías, ductos y elementos estructurales o de otros servicios, que dificulten la ejecución del proyecto en un plano de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.3 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico para detectar posibles interferencias entre equipos, tuberías, ductos y elementos estructurales o de otros servicios, que dificulten la ejecución del proyecto en un plano de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,8,"2.3 Lee las especificaciones técnicas para detectar posibles interferencias entre equipos, tuberías y ductos en la ejecución de proyectos de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.3 Lee las especificaciones técnicas para detectar posibles interferencias entre equipos, tuberías y ductos en la ejecución de proyectos de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,9,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,10,"1.2 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para identificar la ubicación espacial del trazado de cañerías o ductos, en un plano de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.2 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para identificar la ubicación espacial del trazado de cañerías o ductos, en un plano de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
