curso,modulo,id_modulo,recurso,medio,tipo,lugar,criterio,metadatos_completos
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,1,oficio-plano-leyenda.png?v=3,foto,E1 Contextualización · explorar,Observar el escenario del AE con hotspots ligados a criterio,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,2,oficio-plano-leyenda.png?v=3,3d,E2 AE1 etapa 1 (hotspot),"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,3,oficio-plano-leyenda.png?v=3,foto,E2 AE1 etapa 2 (match),"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,4,oficio-plano-leyenda.png?v=3,foto,E2 AE1 etapa 3 (order),"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,5,oficio-cruce.png?v=3,foto,E2 AE1 etapa 4 (choice),"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,6,oficio-plano-leyenda.png?v=3,foto,E2 AE1 etapa 5 (choice),"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,7,oficio-plano-leyenda.png?v=3,foto,E2 AE1 etapa 6 (reflect),"Lee planos de refrigeración y climatización, utilizando la simbología técnica respectiva para reconocer el espacio físico donde se instalarán las distintas redes de refrigeración y climatización, en relación con las normas de dibujo técnico establecidas de calefacción y ventilación.",1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,8,oficio-cruce.png?v=3,foto,E2 AE2 etapa 1 (classify),"Lee y utiliza las especificaciones técnicas de proyectos de refrigeración y climatización, para conocer las indicaciones técnicas y el tipo de material que se empleará en la ejecución de los trabajos y poder determinar posibles interferencias o dificultades en las etapas del proyecto.",1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,9,oficio-cruce.png?v=3,foto,E2 AE2 etapa 2 (choice),"Lee y utiliza las especificaciones técnicas de proyectos de refrigeración y climatización, para conocer las indicaciones técnicas y el tipo de material que se empleará en la ejecución de los trabajos y poder determinar posibles interferencias o dificultades en las etapas del proyecto.",1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,10,oficio-cruce.png?v=3,foto,E2 AE2 etapa 3 (checklist),"Lee y utiliza las especificaciones técnicas de proyectos de refrigeración y climatización, para conocer las indicaciones técnicas y el tipo de material que se empleará en la ejecución de los trabajos y poder determinar posibles interferencias o dificultades en las etapas del proyecto.",1
